,team_red,result_red,ban_0_red,ban_1_red,ban_2_red,ban_3_red,ban_4_red,pick_0_red,pick_1_red,pick_2_red,pick_3_red,pick_4_red,kills_red,towers_red,dragons_red,barons_red,player_0_red,kda_0_red,csM_0_red,dpM_0_red,wpM_0_red,player_1_red,kda_1_red,csM_1_red,dpM_1_red,wpM_1_red,player_2_red,kda_2_red,csM_2_red,dpM_2_red,wpM_2_red,player_3_red,kda_3_red,csM_3_red,dpM_3_red,wpM_3_red,player_4_red,kda_4_red,csM_4_red,dpM_4_red,wpM_4_red,team_blue,result_blue,ban_0_blue,ban_1_blue,ban_2_blue,ban_3_blue,ban_4_blue,pick_0_blue,pick_1_blue,pick_2_blue,pick_3_blue,pick_4_blue,kills_blue,towers_blue,dragons_blue,barons_blue,player_0_blue,kda_0_blue,csM_0_blue,dpM_0_blue,wpM_0_blue,player_1_blue,kda_1_blue,csM_1_blue,dpM_1_blue,wpM_1_blue,player_2_blue,kda_2_blue,csM_2_blue,dpM_2_blue,wpM_2_blue,player_3_blue,kda_3_blue,csM_3_blue,dpM_3_blue,wpM_3_blue,player_4_blue,kda_4_blue,csM_4_blue,dpM_4_blue,wpM_4_blue,match_duration,region
0,211,0,105,70,17,56,143,36,147,121,136,9,11,4,3,0,712,1.0,8.5,349,0.33,301,2.0,5.2,239,0.32,42,1.2,8.8,500,0.25,325,1.5,8.7,472,0.77,418,2.0,1.0,159,1.74,122,1,999,75,154,47,88,51,141,65,29,54,25,20,6,3,1097,5.67,7.5,387,0.41,905,7.0,4.9,281,0.31,492,7.0,9.8,695,0.31,4,16.0,10.4,822,0.58,19,9.5,0.8,282,1.36,00:34:58,LAT
0,122,1,999,75,154,47,88,51,141,65,29,54,25,20,6,3,1097,5.67,7.5,387,0.41,905,7.0,4.9,281,0.31,492,7.0,9.8,695,0.31,4,16.0,10.4,822,0.58,19,9.5,0.8,282,1.36,211,0,105,70,17,56,143,36,147,121,136,9,11,4,3,0,712,1.0,8.5,349,0.33,301,2.0,5.2,239,0.32,42,1.2,8.8,500,0.25,325,1.5,8.7,472,0.77,418,2.0,1.0,159,1.74,00:34:58,LAT
0,70,1,105,75,121,65,47,101,141,2,17,9,48,21,8,2,17,2.38,7.7,536,0.31,469,10.67,6.1,517,0.26,953,36.0,7.3,711,0.33,376,37.0,10.2,1029,0.43,860,21.0,0.6,488,1.77,129,0,41,27,154,11,36,51,142,56,70,80,14,1,0,0,708,1.0,7.7,576,0.45,357,0.67,5.4,338,0.26,488,0.5,7.2,540,0.38,348,1.25,8.2,576,0.36,446,1.11,0.2,191,1.09,00:28:22,LAT
0,129,0,41,27,154,11,36,51,142,56,70,80,14,1,0,0,708,1.0,7.7,576,0.45,357,0.67,5.4,338,0.26,488,0.5,7.2,540,0.38,348,1.25,8.2,576,0.36,446,1.11,0.2,191,1.09,70,1,105,75,121,65,47,101,141,2,17,9,48,21,8,2,17,2.38,7.7,536,0.31,469,10.67,6.1,517,0.26,953,36.0,7.3,711,0.33,376,37.0,10.2,1029,0.43,860,21.0,0.6,488,1.77,00:28:22,LAT
0,7,0,105,75,17,101,47,36,147,2,157,154,4,0,1,0,1108,0.29,8.0,384,0.38,168,0.33,5.1,153,0.32,552,0.25,8.5,442,0.22,1022,0.0,8.4,280,0.38,629,0.17,0.4,169,1.05,167,1,9,136,122,56,11,51,141,121,25,82,36,19,5,1,110,4.5,8.8,425,0.30,690,22.0,5.9,300,0.34,632,26.0,9.7,1113,0.22,158,23.0,9.1,486,0.49,585,26.0,0.9,141,1.31,00:24:38,LAT
0,7,0,105,75,17,101,47,36,147,2,157,154,4,0,1,0,1108,0.29,8.0,384,0.38,168,0.33,5.1,153,0.32,552,0.25,8.5,442,0.22,1022,0.0,8.4,280,0.38,629,0.17,0.4,169,1.05,167,1,9,136,122,56,11,51,141,121,25,82,36,19,5,1,110,4.5,8.8,425,0.30,690,22.0,5.9,300,0.34,632,26.0,9.7,1113,0.22,158,23.0,9.1,486,0.49,585,26.0,0.9,141,1.31,00:24:38,LAT
0,227,0,70,27,154,101,121,36,75,2,49,41,16,6,4,1,123,0.92,8.6,529,0.32,605,1.62,4.8,321,0.26,981,1.17,7.6,377,0.28,583,0.67,7.9,484,0.39,80,2.0,1.3,328,1.81,203,1,122,9,105,56,11,48,141,33,136,72,39,21,6,2,611,3.8,8.3,725,0.28,692,28.0,6.1,477,0.31,1121,4.6,8.2,450,0.64,901,13.0,10.2,945,0.40,874,5.75,0.6,160,1.11,00:33:50,LAT
0,227,0,70,27,154,101,121,36,75,2,49,41,16,6,4,1,123,0.92,8.6,529,0.32,605,1.62,4.8,321,0.26,981,1.17,7.6,377,0.28,583,0.67,7.9,484,0.39,80,2.0,1.3,328,1.81,203,1,122,9,105,56,11,48,141,33,136,72,39,21,6,2,611,3.8,8.3,725,0.28,692,28.0,6.1,477,0.31,1121,4.6,8.2,450,0.64,901,13.0,10.2,945,0.40,874,5.75,0.6,160,1.11,00:33:50,LAT
0,1,0,157,116,70,27,75,47,142,121,136,11,8,2,1,1,967,1.4,8.4,588,0.40,178,1.0,5.6,262,0.28,101,1.0,7.9,438,0.21,249,0.8,7.7,472,0.43,131,0.6,0.7,280,1.50,40,1,31,159,105,107,56,51,147,2,9,41,25,9,3,0,335,20.0,8.1,879,0.49,102,9.5,6.0,615,0.21,238,7.5,8.6,764,0.46,91,17.0,7.3,363,0.86,1110,7.0,1.3,491,1.20,00:32:34,
0,105,0,70,105,41,56,43,88,147,121,136,54,16,5,2,1,553,1.25,7.9,383,0.35,808,4.0,6.1,434,0.33,1083,2.25,7.6,471,0.40,932,1.4,9.0,695,0.37,408,3.0,0.9,167,1.56,72,1,27,75,154,51,82,47,107,11,49,9,18,9,4,1,1188,1.17,8.5,489,0.53,427,7.0,5.7,266,0.46,1149,1.0,9.0,698,0.19,297,14.0,9.1,602,0.56,1036,6.5,0.9,342,2.23,00:43:02,
