,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
164,MAMMOTH,S13,OCE,5,20.0%,0.52,1637,-348,23:39,8.4,16.2,2.2,7.2,40.0,20.0,1.20,35.0,1.00,50.0,0.80,0.0,-2052,3.00,0.20,33.3,29.2,1818,2.4,0.82,0.91
165,mCon LG UltraGear,S13,BE,4,75.0%,1.34,1795,103,35:02,16.8,12.3,7.0,5.3,100.0,75.0,2.50,50.0,1.25,62.5,0.75,-0.3,437,3.75,1.50,91.7,29.5,2358,2.6,0.86,1.15
166,MOUZ,S13,DE,6,66.7%,1.16,1787,85,31:32,11.0,9.5,7.0,4.8,33.3,66.7,2.83,60.6,1.33,75.0,1.00,0.7,1156,4.50,0.83,66.7,32.4,2073,2.9,0.96,1.43
167,Movistar R7,S13,LAT,4,100.0%,3.48,2063,559,26:52,18.3,5.3,9.8,1.3,75.0,75.0,2.50,76.7,1.50,87.5,1.00,0.8,3520,5.25,1.00,100.0,34.5,2429,3.1,1.25,1.33
168,Movistar Riders,S13,ES,7,71.4%,1.58,1942,229,33:26,17.1,10.9,8.3,4.6,71.4,71.4,3.29,75.5,1.14,57.1,1.14,0.0,1207,5.00,1.43,78.6,34.2,2113,3.2,1.02,1.50
169,MS Company,S13,FR,8,0.0%,0.49,1577,-353,33:26,8.6,17.8,2.1,9.6,75.0,12.5,1.63,32.9,0.50,25.0,0.88,-0.6,-1798,2.88,0.25,12.5,29.4,1922,2.0,0.62,1.12
170,NASR eSports Turkey,S13,TR,4,25.0%,0.80,1785,-58,37:58,12.3,15.3,6.3,6.3,25.0,50.0,2.25,37.9,0.75,37.5,0.75,-0.8,-906,2.75,1.50,62.5,32.8,2162,3.3,1.31,1.73
171,Nativz,S13,EUW,4,0.0%,0.57,1539,-365,33:05,7.8,13.5,2.3,9.8,50.0,50.0,1.00,20.8,0.50,25.0,0.75,0.0,-2731,2.25,0.25,12.5,28.9,1651,2.7,1.14,1.33
172,Nigma Galaxy Male,S13,AL,3,66.7%,1.11,1922,135,35:31,19.7,17.7,7.3,5.7,66.7,-,2.33,52.8,0.67,33.3,0.33,-0.3,-355,3.00,1.00,66.7,32.0,2834,2.6,0.91,1.10
173,Ninjas in Pyjamas,S13,CN,9,33.3%,0.86,1753,-100,30:12,11.6,13.4,5.6,6.7,66.7,44.4,1.89,44.1,-,-,-,-,-,-,0.44,37.0,31.2,2320,-,-,-
174,NNO Prime,S13,DE,6,33.3%,1.04,1727,-91,34:24,12.7,12.2,4.7,7.7,66.7,50.0,1.83,41.7,0.50,25.0,0.83,0.3,646,3.83,0.67,33.3,31.5,2280,3.1,1.07,1.56
175,Nongshim RedForce,S13,KR,15,26.7%,0.91,1708,-151,31:33,9.8,10.7,3.9,7.5,46.7,33.3,1.53,35.2,0.87,46.7,0.80,-0.5,-915,2.40,0.13,13.6,32.9,1961,3.2,1.50,1.58
176,Nord Esports,S13,EUW,4,100.0%,3.35,1991,467,27:14,16.8,5.0,9.8,1.3,75.0,50.0,2.25,70.8,1.75,87.5,0.50,0.5,2412,5.25,0.75,75.0,33.3,2390,2.9,0.94,1.05
177,Northern Lions,S13,BE,4,50.0%,0.97,1768,-59,36:28,16.8,17.3,6.5,6.5,50.0,25.0,2.50,45.0,1.25,62.5,1.00,0.0,-728,4.50,1.25,50.0,30.4,2187,2.3,0.82,1.27
178,NS Challengers,S13,KR,17,64.7%,0.98,1811,16,33:30,13.5,13.8,6.8,5.6,52.9,35.3,2.29,48.7,1.00,50.0,0.76,-0.3,-842,2.41,1.06,66.7,32.2,2241,3.1,1.43,1.67
179,Odivelas Sports Club,S13,PT,3,33.3%,0.71,1681,-137,30:06,12.0,17.0,3.7,6.3,66.7,66.7,2.00,50.0,0.33,16.7,1.00,0.0,-692,2.67,0.67,33.3,29.4,2062,2.5,0.81,1.51
180,OMG,S13,CN,6,66.7%,1.07,1830,62,33:40,13.5,12.7,7.0,5.3,50.0,33.3,2.17,45.4,-,-,-,-,-,-,1.00,85.0,32.5,2265,-,-,-
181,paiN Academy,S13,BR,4,25.0%,0.86,1779,-42,34:26,14.8,17.3,5.8,8.3,50.0,100.0,2.00,42.5,0.75,37.5,0.50,0.0,947,4.25,0.75,33.3,30.8,2359,3.4,1.37,1.34
182,paiN Gaming,S13,BR,6,33.3%,0.65,1673,-205,31:19,9.8,15.2,4.2,6.8,16.7,33.3,0.67,13.9,0.67,33.3,0.33,-0.7,-1577,3.83,0.33,25.0,31.6,1989,3.3,1.62,1.66
